fecha_emision,datetime_utc_ancla,demanda_real,n_lecturas,ancla_ultimo_dia_real
2026-08-17T05:53:37Z,2026-08-16T19:00:00Z,31333.583333333332,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T20:00:00Z,30730.5,12,2026-08-16
2026-08-17T05:53:37Z,2026-08-16T21:00:00Z,28911.333333333332,12,2026-08-16
2026-08-18T05:47:41Z,2026-08-16T22:00:00Z,27135.5,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-16T23:00:00Z,25461.583333333332,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T00:00:00Z,24315.75,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T01:00:00Z,23678.666666666668,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T02:00:00Z,23336.75,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T03:00:00Z,23422.5,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T04:00:00Z,25309.75,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T05:00:00Z,27625.833333333332,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T06:00:00Z,29774.083333333332,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T07:00:00Z,32790.666666666664,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T08:00:00Z,35041.0,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T09:00:00Z,36351.666666666664,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T10:00:00Z,37462.666666666664,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T11:00:00Z,38778.5,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T12:00:00Z,39591.0,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T13:00:00Z,39177.833333333336,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T14:00:00Z,38579.75,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T15:00:00Z,38697.75,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T16:00:00Z,38453.0,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T17:00:00Z,37540.333333333336,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T18:00:00Z,36139.666666666664,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T19:00:00Z,35794.666666666664,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T20:00:00Z,33964.0,12,2026-08-17
2026-08-18T05:47:41Z,2026-08-17T21:00:00Z,31435.416666666668,12,2026-08-17
2026-08-19T05:49:15Z,2026-08-17T22:00:00Z,29264.5,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-17T23:00:00Z,27304.166666666668,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T00:00:00Z,25967.416666666668,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T01:00:00Z,25243.916666666668,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T02:00:00Z,24784.916666666668,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T03:00:00Z,24924.75,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T04:00:00Z,26551.416666666668,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T05:00:00Z,28557.833333333332,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T06:00:00Z,30607.583333333332,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T07:00:00Z,33651.25,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T08:00:00Z,35964.333333333336,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T09:00:00Z,37375.083333333336,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T10:00:00Z,38343.083333333336,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T11:00:00Z,39653.0,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T12:00:00Z,40273.416666666664,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T13:00:00Z,39623.166666666664,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T14:00:00Z,39487.25,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T15:00:00Z,39511.583333333336,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T16:00:00Z,39396.75,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T17:00:00Z,38708.25,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T18:00:00Z,37168.166666666664,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T19:00:00Z,36805.5,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T20:00:00Z,35083.166666666664,12,2026-08-18
2026-08-19T05:49:15Z,2026-08-18T21:00:00Z,32399.333333333332,12,2026-08-18
2026-08-20T05:48:55Z,2026-08-18T22:00:00Z,30169.75,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-18T23:00:00Z,28368.333333333332,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T00:00:00Z,26970.25,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T01:00:00Z,26035.583333333332,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T02:00:00Z,25538.083333333332,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T03:00:00Z,25529.083333333332,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T04:00:00Z,27082.333333333332,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T05:00:00Z,29042.916666666668,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T06:00:00Z,30958.333333333332,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T07:00:00Z,34204.25,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T08:00:00Z,36803.0,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T09:00:00Z,37794.416666666664,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T10:00:00Z,39025.0,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T11:00:00Z,40291.166666666664,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T12:00:00Z,40634.083333333336,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T13:00:00Z,39921.0,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T14:00:00Z,39575.666666666664,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T15:00:00Z,39731.5,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T16:00:00Z,39411.333333333336,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T17:00:00Z,38403.916666666664,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T18:00:00Z,36596.833333333336,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T19:00:00Z,36183.583333333336,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T20:00:00Z,34506.0,12,2026-08-19
2026-08-20T05:48:55Z,2026-08-19T21:00:00Z,32018.083333333332,12,2026-08-19
